cluster_id	group
0	unsorted
2	unsorted
4	unsorted
5	unsorted
6	unsorted
7	unsorted
8	unsorted
9	unsorted
10	unsorted
11	unsorted
12	unsorted
13	unsorted
14	unsorted
15	unsorted
16	unsorted
17	unsorted
18	unsorted
19	unsorted
20	unsorted
21	unsorted
22	unsorted
23	unsorted
24	unsorted
25	unsorted
26	unsorted
27	unsorted
28	unsorted
29	unsorted
30	unsorted
31	unsorted
32	unsorted
33	unsorted
34	unsorted
35	unsorted
36	unsorted
37	unsorted
38	unsorted
39	unsorted
40	unsorted
41	unsorted
42	unsorted
43	unsorted
44	unsorted
45	unsorted
46	unsorted
47	unsorted
48	unsorted
49	unsorted
50	unsorted
51	unsorted
53	unsorted
54	unsorted
55	unsorted
56	unsorted
57	unsorted
58	unsorted
59	unsorted
60	unsorted
61	unsorted
62	unsorted
63	unsorted
64	unsorted
65	unsorted
66	unsorted
67	unsorted
68	unsorted
69	unsorted
70	unsorted
73	unsorted
74	unsorted
75	unsorted
77	unsorted
78	unsorted
79	unsorted
80	unsorted
81	unsorted
82	unsorted
83	unsorted
84	unsorted
85	unsorted
86	unsorted
87	unsorted
88	unsorted
89	unsorted
90	unsorted
91	unsorted
92	unsorted
93	unsorted
94	mua
95	unsorted
96	unsorted
97	unsorted
98	unsorted
99	unsorted
100	unsorted
101	unsorted
102	unsorted
103	unsorted
104	unsorted
105	unsorted
106	unsorted
107	unsorted
108	unsorted
109	unsorted
110	unsorted
111	unsorted
112	unsorted
113	unsorted
114	unsorted
115	unsorted
116	unsorted
119	unsorted
120	unsorted
121	unsorted
122	unsorted
123	unsorted
124	unsorted
125	unsorted
126	unsorted
127	unsorted
128	unsorted
129	unsorted
130	unsorted
131	unsorted
132	unsorted
133	unsorted
134	unsorted
136	unsorted
137	unsorted
138	unsorted
139	unsorted
140	unsorted
141	unsorted
142	unsorted
143	unsorted
144	unsorted
145	unsorted
146	unsorted
147	unsorted
148	unsorted
149	unsorted
150	unsorted
151	unsorted
152	unsorted
153	unsorted
154	unsorted
155	unsorted
156	unsorted
157	unsorted
159	unsorted
160	unsorted
161	unsorted
162	unsorted
163	unsorted
164	unsorted
165	unsorted
166	unsorted
167	unsorted
168	unsorted
169	unsorted
171	unsorted
172	unsorted
173	unsorted
174	unsorted
175	unsorted
176	unsorted
177	unsorted
178	unsorted
179	unsorted
180	unsorted
181	unsorted
183	unsorted
185	unsorted
186	unsorted
187	unsorted
188	unsorted
189	unsorted
190	unsorted
191	unsorted
192	unsorted
193	unsorted
194	unsorted
195	unsorted
196	unsorted
197	unsorted
198	unsorted
199	unsorted
200	unsorted
201	unsorted
202	unsorted
203	unsorted
204	unsorted
205	unsorted
206	unsorted
207	unsorted
208	unsorted
209	unsorted
210	noise
211	unsorted
212	unsorted
213	unsorted
214	unsorted
215	unsorted
216	unsorted
217	unsorted
218	unsorted
219	unsorted
220	unsorted
222	unsorted
223	unsorted
224	unsorted
225	unsorted
226	unsorted
227	unsorted
228	unsorted
229	unsorted
230	unsorted
231	unsorted
232	unsorted
233	unsorted
234	unsorted
235	unsorted
236	unsorted
237	unsorted
238	unsorted
239	unsorted
240	unsorted
241	unsorted
242	unsorted
243	unsorted
244	unsorted
245	unsorted
246	unsorted
247	unsorted
248	unsorted
249	unsorted
250	unsorted
251	unsorted
252	unsorted
253	unsorted
254	unsorted
255	unsorted
258	unsorted
259	unsorted
261	unsorted
263	unsorted
264	unsorted
265	unsorted
267	unsorted
268	unsorted
269	unsorted
270	unsorted
271	unsorted
272	unsorted
273	unsorted
274	unsorted
275	unsorted
276	unsorted
277	unsorted
278	unsorted
279	unsorted
280	unsorted
281	unsorted
284	unsorted
285	unsorted
286	unsorted
287	unsorted
288	unsorted
289	unsorted
290	unsorted
291	unsorted
292	unsorted
293	unsorted
294	unsorted
295	unsorted
296	unsorted
298	unsorted
300	unsorted
301	unsorted
302	unsorted
303	unsorted
304	unsorted
306	unsorted
307	unsorted
308	unsorted
309	unsorted
310	unsorted
311	unsorted
312	unsorted
313	unsorted
314	unsorted
315	unsorted
316	unsorted
317	unsorted
318	unsorted
319	unsorted
320	unsorted
322	unsorted
323	unsorted
324	unsorted
325	unsorted
326	unsorted
327	unsorted
328	unsorted
330	unsorted
332	unsorted
333	unsorted
334	unsorted
335	unsorted
336	unsorted
337	unsorted
338	unsorted
339	unsorted
340	unsorted
341	unsorted
342	unsorted
343	unsorted
344	unsorted
345	unsorted
346	unsorted
347	unsorted
348	unsorted
349	unsorted
350	unsorted
352	unsorted
353	unsorted
354	unsorted
355	unsorted
356	unsorted
357	unsorted
358	unsorted
359	unsorted
360	unsorted
361	unsorted
362	unsorted
363	unsorted
364	unsorted
365	unsorted
366	unsorted
367	unsorted
368	unsorted
369	unsorted
370	unsorted
371	unsorted
372	unsorted
373	unsorted
374	unsorted
375	unsorted
376	unsorted
378	unsorted
379	unsorted
380	unsorted
381	unsorted
382	good
383	unsorted
386	unsorted
387	unsorted
